"";"Platzierung";"Name";"Punkte85";"Land";"Gebutsdatum";"jahr";"wettkamp";"Zeit_100m_Huerden";"Hochsprung";"Kugelstoßen";"Zeit_200m_Lauf";"Weitsprung";"Speerwurf";"Zeit_800m_Lauf_Minute";"Zeit_800m_Lauf_Sekunden";"Quelle"
"197";7;"Antoinette Nana Djimou I";6309;"Frankrei";1985-08-02;2011;"Weltmeisterschaften";13,48;1,83;14,07;25,19;6,13;55,79;8880;148,74;"www.iaaf.org        "
"198";8;"Austra Skujyt?          ";6297;"Lithauen";1979-08-12;2011;"Weltmeisterschaften";13,96;1,86;16,71;26,04;6,05;49,19;8580;143,21;"www.iaaf.org        "
"199";9;"Jessica Zelinka         ";6268;"CAN";1981-09-03;2011;"Weltmeisterschaften";13,01;1,68;14,91;24,06;6,16;39,59;7920;132,62;"www.iaaf.org        "
"200";10;"Anna Bogdanova          ";6242;"RUS";1984-10-21;2011;"Weltmeisterschaften";13,44;1,83;14,52;25,64;6,38;41,38;8280;138,34;"www.iaaf.org        "
"201";1;"Hanna Melnytschenko     ";6586;"Ukr";1983-04-24;2013;"Weltmeisterschaften";13,29;1,86;13,85;23,87;6,49;41,87;7740;129,85;"www.iaaf.org        "
"202";2;"Brianne Theisen-Eaton   ";6530;"Kanada";1988-12-18;2013;"Weltmeisterschaften";13,17;1,83;13,07;24,18;6,37;45,64;7740;129,03;"www.iaaf.org        "
"203";3;"Dafne Schippers         ";6477;"NED";1992-06-15;2013;"Weltmeisterschaften";13,3;1,77;12,91;22,84;6,35;41,47;7680;128,62;"www.iaaf.org        "
"204";4;"Claudia Rath            ";6462;"GER";1986-04-25;2013;"Weltmeisterschaften";13,55;1,83;12,88;24,77;6,67;39,04;7560;126,43;"www.iaaf.org        "
"205";5;"Katarina Johnson-Thompso";6449;"GBR";1993-01-09;2013;"Weltmeisterschaften";13,49;1,83;11,52;23,37;6,56;40,86;7620;127,64;"www.iaaf.org        "
"206";6;"Sharon Day              ";6407;"USA";1985-06-09;2013;"Weltmeisterschaften";13,51;1,83;14,35;24,28;5,79;47,17;7680;128,94;"www.iaaf.org        "
"207";7;"Eliška Klu?inová        ";6332;"CZE";1988-04-14;2013;"Weltmeisterschaften";13,97;1,86;14,19;24,91;6,12;45,76;7920;132,5;"www.iaaf.org        "
"208";8;"Antoinette Nana Djimou I";6326;"FRA";1985-08-02;2013;"Weltmeisterschaften";13,36;1,77;14,54;24,95;5,97;52,47;8280;138,44;"www.iaaf.org        "
"209";9;"Karolina Tyminska       ";6270;"Polen";1984-10-04;2013;"Weltmeisterschaften";13,48;1,68;13,74;24,13;6,32;40,61;7560;126,64;"www.iaaf.org        "
"210";10;"Nadine Broersen         ";6224;"Niederla";1990-04-29;2013;"Weltmeisterschaften";14,84;1,89;13,46;25,01;6,13;47,48;7920;132,89;"www.iaaf.org        "
